Seconds, instMass, instFuel, Acceleration, Acceleration X, Acceleration Y, Total Speed, Speed X, Speed Y, Height, Delta X, Gravitational Acceleration
93, 1260000.0, 1120000.0, 18.079118115995463,6.716737168895071, 16.785111070710816,997.8154292493548 , 315.69790697233685, 946.5571627648063, 35990.76932071659, 11129.915313977352, 9.716024349665673
94, 1250000.0, 1110000.0, 18.311335575015445,6.835374573175253, 16.98772100622139,1015.8639374026926 , 322.4146441412319, 963.3422738355172, 36937.326483481396, 11448.971589534136, 9.713154130212398
95, 1240000.0, 1100000.0, 18.546922747331873,6.9563793815839965, 17.192938355469362,1034.1433525434666 , 329.2500187144072, 980.3299948417385, 37900.66875731691, 11774.803920961956, 9.71023431939855
96, 1230000.0, 1090000.0, 18.785987993691375,7.079816480701287, 17.40084893040299,1052.6569927450448 , 336.2063980959912, 997.5229331972079, 38880.99875215865, 12107.532129367155, 9.707264371586971
97, 1220000.0, 1080000.0, 19.028641569509233,7.205751945784059, 17.611539934846242,1071.4082828906116 , 343.2862145766925, 1014.9237821276108, 39878.52168535586, 12447.278435703498, 9.704243735507388
98, 1210000.0, 1070000.0, 19.274995917714612,7.334254665965356, 17.82509961045605,1090.40075655853 , 350.49196652247656, 1032.535322062457, 40893.44546748347, 12794.167526253083, 9.701171854059137
99, 1200000.0, 1060000.0, 19.52516551152812,7.4653945065751115, 18.04161780755166,1109.638058101334 , 357.82622118844193, 1050.3604216729132, 41925.98078954593, 13148.326620108543, 9.698048164111757
100, 1190000.0, 1050000.0, 19.779267245082387,7.599244426951603, 18.261185528103972,1129.1239446859202 , 365.2916156950171, 1068.4020394804647, 42976.341211218845, 13509.885538550272, 9.69487209630454
101, 1180000.0, 1040000.0, 20.037420327998237,7.735878789976055, 18.48389549709897,1148.8622885918596 , 372.8908601219687, 1086.6632250085688, 44044.74325069931, 13878.976776458765, 9.691643074843391
102, 1170000.0, 1030000.0, 20.2997465877813,7.875374610362549, 18.709841962843925,1168.8570795168719 , 380.6267389119447, 1105.1471205056678, 45131.406475707874, 14255.735575975721, 9.688360517296472
103, 1160000.0, 1020000.0, 20.56637060624634,8.017811465745977, 18.939120866957524,1189.1124271069787 , 388.50211352230724, 1123.8569624685117, 46236.55359621354, 14640.300002192846, 9.68502383438696
104, 1150000.0, 1010000.0, 20.837419801814345,8.163270894590699, 19.171830176031,1209.6325636322047 , 396.5199249880532, 1142.7960833354691, 47360.41055868205, 15032.811021448026, 9.681632429783628
105, 1140000.0, 1000000.0, 21.11302470804106,8.311837183283103, 19.40806984120123,1230.4218467907904 , 404.68319588264393, 1161.9679135115002, 48503.20664201752, 15433.412581883375, 9.678185699888832
106, 1130000.0, 990000.0, 21.393319177756595,8.46359750618049, 19.64794194552558,1251.4847627437134 , 412.99503306592703, 1181.3759833527015, 49665.17455552902, 15842.25169635766, 9.674683033622943
