Seconds, instWeight, Thrust, ThrustX, ThrustY, Air Resistance, density
362, 964246.9283490753, 0, 0.0, 0.0, 0.02428455138467332, 1.4051045089739444e-17
363, 962937.3545655254, 0, 0.0, 0.0, 0.02428455138467332, 1.3365906105207952e-17
364, 961632.1840143488, 0, 0.0, 0.0, 0.02428455138467332, 1.2717570522306451e-17
365, 960331.3965266214, 0, 0.0, 0.0, 0.02428455138467332, 1.2103885099684293e-17
366, 959034.9720561928, 0, 0.0, 0.0, 0.02428455138467332, 1.1522832610667003e-17
367, 957742.8906787682, 0, 0.0, 0.0, 0.02428455138467332, 1.0972522632028335e-17
368, 956455.1325909969, 0, 0.0, 0.0, 0.02428455138467332, 1.0451182997692529e-17
369, 955171.6781095681, 0, 0.0, 0.0, 0.02428455138467332, 9.957151866451887e-18
370, 953892.5076703177, 0, 0.0, 0.0, 0.02428455138467332, 9.488870356902097e-18
371, 952617.6018273395, 0, 0.0, 0.0, 0.02428455138467332, 9.044875706566685e-18
372, 951346.9412521081, 0, 0.0, 0.0, 0.02428455138467332, 8.623794915629552e-18
373, 950080.5067326052, 0, 0.0, 0.0, 0.02428455138467332, 8.224338838852412e-18
374, 948818.2791724573, 0, 0.0, 0.0, 0.02428455138467332, 7.845296692146238e-18
375, 947560.2395900793, 0, 0.0, 0.0, 0.02428455138467332, 7.485530942916877e-18
376, 946306.3691178256, 0, 0.0, 0.0, 0.02428455138467332, 7.14397255573414e-18
377, 945056.6490011502, 0, 0.0, 0.0, 0.02428455138467332, 6.819616567103237e-18
378, 943811.0605977707, 0, 0.0, 0.0, 0.02428455138467332, 6.511517965161556e-18
379, 942569.5853768443, 0, 0.0, 0.0, 0.02428455138467332, 6.2187878520015044e-18
380, 941332.204918147, 0, 0.0, 0.0, 0.02428455138467332, 5.9405898680427005e-18
381, 940098.9009112628, 0, 0.0, 0.0, 0.02428455138467332, 5.676136859461133e-18
382, 938869.6551547779, 0, 0.0, 0.0, 0.02428455138467332, 5.424687771136982e-18
383, 937644.4495554832, 0, 0.0, 0.0, 0.02428455138467332, 5.1855447489209646e-18
384, 936423.2661275836, 0, 0.0, 0.0, 0.02428455138467332, 4.958050436248835e-18
385, 935206.0869919133, 0, 0.0, 0.0, 0.02428455138467332, 4.741585451265738e-18
386, 933992.8943751596, 0, 0.0, 0.0, 0.02428455138467332, 4.535566031663682e-18
387, 932783.6706090914, 0, 0.0, 0.0, 0.02428455138467332, 4.339441835394399e-18
388, 931578.3981297958, 0, 0.0, 0.0, 0.02428455138467332, 4.1526938863032674e-18
389, 930377.059476921, 0, 0.0, 0.0, 0.02428455138467332, 3.9748326545439066e-18
390, 929179.6372929253, 0, 0.0, 0.0, 0.02428455138467332, 3.8053962623834234e-18
391, 927986.1143223338, 0, 0.0, 0.0, 0.02428455138467332, 3.6439488066996796e-18
392, 926796.4734109995, 0, 0.0, 0.0, 0.02428455138467332, 3.4900787901104405e-18
393, 925610.6975053726, 0, 0.0, 0.0, 0.02428455138467332, 3.3433976532626522e-18
394, 924428.7696517747, 0, 0.0, 0.0, 0.02428455138467332, 3.2035384013539187e-18
395, 923250.6729956807, 0, 0.0, 0.0, 0.02428455138467332, 3.070154318459638e-18
396, 922076.3907810053, 0, 0.0, 0.0, 0.02428455138467332, 2.942917763703118e-18
397, 920905.9063493976, 0, 0.0, 0.0, 0.02428455138467332, 2.8215190437340884e-18
398, 919739.2031395384, 0, 0.0, 0.0, 0.02428455138467332, 2.7056653563769295e-18
399, 918576.264686448, 0, 0.0, 0.0, 0.02428455138467332, 2.5950798006759928e-18
400, 917417.0746207952, 0, 0.0, 0.0, 0.02428455138467332, 2.4895004489039433e-18
401, 916261.6166682155, 0, 0.0, 0.0, 0.02428455138467332, 2.3886794764122214e-18
402, 915109.8746486348, 0, 0.0, 0.0, 0.02428455138467332, 2.2923823454927466e-18
403, 913961.8324755968, 0, 0.0, 0.0, 0.02428455138467332, 2.2003870396884515e-18
404, 912817.4741555977, 0, 0.0, 0.0, 0.02428455138467332, 2.112483345238566e-18
405, 911676.7837874271, 0, 0.0, 0.0, 0.02428455138467332, 2.028472176575269e-18
406, 910539.7455615122, 0, 0.0, 0.0, 0.02428455138467332, 1.9481649430014696e-18
407, 909406.34375927, 0, 0.0, 0.0, 0.02428455138467332, 1.871382953877545e-18
408, 908276.5627524639, 0, 0.0, 0.0, 0.02428455138467332, 1.7979568598281264e-18
409, 907150.387002564, 0, 0.0, 0.0, 0.02428455138467332, 1.7277261276505937e-18
410, 906027.8010601174, 0, 0.0, 0.0, 0.02428455138467332, 1.6605385467644474e-18
411, 904908.7895641183, 0, 0.0, 0.0, 0.02428455138467332, 1.5962497651876698e-18
412, 903793.337241387, 0, 0.0, 0.0, 0.02428455138467332, 1.5347228531620993e-18
413, 902681.4289059539, 0, 0.0, 0.0, 0.02428455138467332, 1.47582789267634e-18
414, 901573.0494584457, 0, 0.0, 0.0, 0.02428455138467332, 1.4194415912521295e-18
415, 900468.1838854803, 0, 0.0, 0.0, 0.02428455138467332, 1.3654469184692112e-18
416, 899366.8172590656, 0, 0.0, 0.0, 0.02428455138467332, 1.3137327638052906e-18
417, 898268.9347360021, 0, 0.0, 0.0, 0.02428455138467332, 1.2641936144618778e-18
418, 897174.521557291, 0, 0.0, 0.0, 0.02428455138467332, 1.2167292519345864e-18
419, 896083.5630475493, 0, 0.0, 0.0, 0.02428455138467332, 1.1712444661682204e-18
420, 894996.0446144262, 0, 0.0, 0.0, 0.02428455138467332, 1.127648786212705e-18
421, 893911.9517480271, 0, 0.0, 0.0, 0.02428455138467332, 1.0858562263669101e-18
422, 892831.2700203412, 0, 0.0, 0.0, 0.02428455138467332, 1.0457850468630317e-18
